Kendal Tau=0.730736145333664
idConference, conferenceName, curRank, curValue, oldRank, NPC
1789,PACC ,25,618,88,554
3006,MMS ,411,231,468.5,173.5
1775,ICSCCN ,25,618,88,554
1772,ICCIC ,25,618,88,554
2947,TDB ,503,139,466.5,175.5
523,WILF ,25,618,88,554
396,ICDIM ,434,208,466.5,175.5
2493,SoftCOM ,17,626,88,554
3126,Globe ,438,204,464.5,177.5
2364,WTS ,17,626,88,554
3128,3D,405,237,464.5,177.5
1818,CCC ,17,626,88,554
3023,XML ,491,151,462.5,179.5
1655,CBAIVL ,17,626,88,554
3092,ISDB ,430,212,462.5,179.5
404,ISCAS ,17,626,88,554
3104,TEAA ,414,228,461,181
3145,SOSE ,14,629,88,554
2589,AAMAS ,13,630,88,554
2693,High,397,245,460,182
3039,Semantics in Databases,454,188,458,184
3134,HCC ,12,631,88,554
933,LID ,485,157,458,184
2895,IAMA ,11,632,88,554
2125,ICIPS ,10,633,88,554
3060,Future Databases,428,214,458,184
2155,ICOCI ,9,634,88,554
2963,IFIP WG5.12 Publications,441,201,455.5,186.5
1760,BWCCA ,8,635,88,554
1800,WiCom ,400,242,455.5,186.5
2201,WSCS ,7,636,88,554
3058,CISMOD ,447,195,453,189
301,DFRWS ,6,637,88,554
2929,DDB ,471,171,453,189
2382,HOTWEB ,5,638,88,554
2917,Workshop on Database Issues for Data Visualization,440,202,453,189
1716,IC4 ,4,639,88,554
1403,PJW ,443,199,451,191
2485,ICSCN ,3,640,88,554
3057,ARTDB ,436,206,450,192
2137,IJCBS ,2,641,88,554
3099,Information Management in Computer Integrated Manufacturing,383,259,449,193
1594,ICACC ,1,642,88,554
2081,ACM International Workshop on Multimedia Databases,424,218,447.5,194.5
3100,SYRCoDIS ,386,256,447.5,194.5
2967,STDBM ,458,184,445,197
3065,ISOOMS ,401,241,445,197
3086,IGIS ,431,211,445,197
3117,SWDB,412,230,442.5,199.5
3070,IDC(W) ,393,249,442.5,199.5
3082,XIME,446,196,441,201
3010,CRIS ,450,192,438.5,203.5
